"区分","職員数（本務者）_計_計","職員数（本務者）_計_男","職員数（本務者）_計_女","職員数（本務者）_負担法による者_事務職員_計","職員数（本務者）_負担法による者_事務職員_男","職員数（本務者）_負担法による者_事務職員_女","職員数（本務者）_負担法による者_学校栄養職員_計","職員数（本務者）_負担法による者_学校栄養職員_男","職員数（本務者）_負担法による者_学校栄養職員_女","職員数（本務者）_その他の者_教員数に計上されない市町村費負担教員_計","職員数（本務者）_その他の者_教員数に計上されない市町村費負担教員_男","職員数（本務者）_その他の者_教員数に計上されない市町村費負担教員_女","職員数（本務者）_その他の者_事務職員_計","職員数（本務者）_その他の者_事務職員_男","職員数（本務者）_その他の者_事務職員_女","職員数（本務者）_その他の者_学校図書館事務員_計","職員数（本務者）_その他の者_学校図書館事務員_男","職員数（本務者）_その他の者_学校図書館事務員_女","職員数（本務者）（つづき）_その他の者（つづき）_養護職員（看護師等）_計","職員数（本務者）（つづき）_その他の者（つづき）_養護職員（看護師等）_男","職員数（本務者）（つづき）_その他の者（つづき）_養護職員（看護師等）_女","職員数（本務者）（つづき）_その他の者（つづき）_学校栄養職員_計","職員数（本務者）（つづき）_その他の者（つづき）_学校栄養職員_男","職員数（本務者）（つづき）_その他の者（つづき）_学校栄養職員_女","職員数（本務者）（つづき）_その他の者（つづき）_学校給食調理従事員_計","職員数（本務者）（つづき）_その他の者（つづき）_学校給食調理従事員_男","職員数（本務者）（つづき）_その他の者（つづき）_学校給食調理従事員_女","職員数（本務者）（つづき）_その他の者（つづき）_用務員_計","職員数（本務者）（つづき）_その他の者（つづき）_用務員_男","職員数（本務者）（つづき）_その他の者（つづき）_用務員_女","職員数（本務者）（つづき）_その他の者（つづき）_警備員・その他_計","職員数（本務者）（つづき）_その他の者（つづき）_警備員・その他_男","職員数（本務者）（つづき）_その他の者（つづき）_警備員・その他_女","職員数（本務者）（つづき）_その他の者（つづき）_学校医","職員数（本務者）（つづき）_その他の者（つづき）_学校   歯科医","職員数（本務者）（つづき）_その他の者（つづき）_学校    薬剤師"
"印南町","19.0","4.0","15.0","4.0","1.0","3.0","0.0","0.0","0.0","6.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","6.0","3.0","0.0","3.0","0.0","0.0","0.0","8.0","4.0","4.0"
"みなべ町","11.0","0.0","11.0","5.0","0.0","5.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","5.0","0.0","0.0","0.0","7.0","6.0","5.0"
"日高川町","22.0","1.0","21.0","9.0","1.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","9.0","9.0"
"白浜町","34.0","1.0","33.0","10.0","1.0","9.0","4.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","0.0","16.0","4.0","0.0","4.0","0.0","0.0","0.0","11.0","11.0","11.0"
"上富田町","16.0","3.0","13.0","5.0","2.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","3.0","4.0","0.0","4.0","4.0","1.0","3.0","6.0","6.0","5.0"
"すさみ町","5.0","1.0","4.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","3.0","0.0","0.0","0.0","6.0","3.0","3.0"
"那智勝浦町","28.0","2.0","26.0","6.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","0.0","16.0","6.0","1.0","5.0","0.0","0.0","0.0","12.0","6.0","6.0"
"太地町","6.0","1.0","5.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","3.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"古座川町","11.0","1.0","10.0","3.0","1.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","6.0","1.0","0.0","1.0","0.0","0.0","0.0","3.0","3.0","3.0"
"北山村","3.0","0.0","3.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"串本町","28.0","3.0","25.0","9.0","2.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","9.0","0.0","9.0","8.0","1.0","7.0","9.0","9.0","9.0"
