"区分","学年別児童数_計_計","学年別児童数_計_男","学年別児童数_計_女","学年別児童数_１学年_計","学年別児童数_１学年_男","学年別児童数_１学年_女","学年別児童数_２学年_計","学年別児童数_２学年_男","学年別児童数_２学年_女","学年別児童数_３学年_計","学年別児童数_３学年_男","学年別児童数_３学年_女","学年別児童数（つづき）_４学年_計","学年別児童数（つづき）_４学年_男","学年別児童数（つづき）_４学年_女","学年別児童数（つづき）_５学年_計","学年別児童数（つづき）_５学年_男","学年別児童数（つづき）_５学年_女","学年別児童数（つづき）_６学年_計","学年別児童数（つづき）_６学年_男","学年別児童数（つづき）_６学年_女","学年別児童数（つづき）_計のうち公立（再掲）_計_計","学年別児童数（つづき）_計のうち公立（再掲）_計_男","学年別児童数（つづき）_計のうち公立（再掲）_計_女","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_１学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_２学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_３学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_４学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_５学年","学年別児童数（つづき）_計のうち公立（再掲）（つづき）_６学年","学級編制別児童数_計","学級編制別児童数_単式学級_計","学級編制別児童数_単式学級_１学年","学級編制別児童数_単式学級_２学年","学級編制別児童数_単式学級_３学年","学級編制別児童数_単式学級_４学年","学級編制別児童数_単式学級_５学年","学級編制別児童数_単式学級_６学年","学級編制別児童数（つづき）_複式学級_２個学年","学級編制別児童数（つづき）_特別支援学級_計","学級編制別児童数（つづき）_特別支援学級_知的障害","学級編制別児童数（つづき）_特別支援学級_肢体不自由","学級編制別児童数（つづき）_特別支援学級_病弱・身体虚弱","学級編制別児童数（つづき）_特別支援学級_弱視","学級編制別児童数（つづき）_特別支援学級_難聴","学級編制別児童数（つづき）_特別支援学級_言語障害","学級編制別児童数（つづき）_特別支援学級_情緒障害","帰国児童数_計","帰国児童数_国立","帰国児童数_公立","理由別長期欠席児童数（平成26年度間）_計","理由別長期欠席児童数（平成26年度間）_病気","理由別長期欠席児童数（平成26年度間）_経済的理由","理由別長期欠席児童数（平成26年度間）_不登校","理由別長期欠席児童数（平成26年度間）_その他"
"印南町","441.0","239.0","202.0","69.0","39.0","30.0","73.0","37.0","36.0","91.0","50.0","41.0","74.0","49.0","25.0","70.0","33.0","37.0","64.0","31.0","33.0","441.0","239.0","202.0","69.0","73.0","91.0","74.0","70.0","64.0","441.0","434.0","69.0","70.0","90.0","73.0","69.0","63.0","0.0","7.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"みなべ町","781.0","393.0","388.0","119.0","63.0","56.0","108.0","63.0","45.0","143.0","62.0","81.0","131.0","62.0","69.0","128.0","66.0","62.0","152.0","77.0","75.0","781.0","393.0","388.0","119.0","108.0","143.0","131.0","128.0","152.0","781.0","727.0","119.0","90.0","130.0","123.0","115.0","150.0","43.0","11.0","7.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","11.0","1.0","0.0","6.0","4.0"
"日高川町","512.0","266.0","246.0","83.0","47.0","36.0","68.0","31.0","37.0","84.0","45.0","39.0","81.0","35.0","46.0","105.0","56.0","49.0","91.0","52.0","39.0","512.0","266.0","246.0","83.0","68.0","84.0","81.0","105.0","91.0","512.0","376.0","75.0","53.0","59.0","57.0","66.0","66.0","124.0","12.0","7.0","1.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"白浜町","958.0","476.0","482.0","151.0","75.0","76.0","174.0","85.0","89.0","149.0","88.0","61.0","167.0","80.0","87.0","144.0","67.0","77.0","173.0","81.0","92.0","958.0","476.0","482.0","151.0","174.0","149.0","167.0","144.0","173.0","958.0","877.0","145.0","152.0","132.0","149.0","135.0","164.0","60.0","21.0","18.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","11.0","4.0","0.0","6.0","1.0"
"上富田町","866.0","443.0","423.0","152.0","77.0","75.0","159.0","86.0","73.0","149.0","84.0","65.0","126.0","58.0","68.0","135.0","62.0","73.0","145.0","76.0","69.0","866.0","443.0","423.0","152.0","159.0","149.0","126.0","135.0","145.0","866.0","840.0","149.0","155.0","144.0","123.0","133.0","136.0","0.0","26.0","12.0","0.0","0.0","0.0","0.0","0.0","14.0","0.0","0.0","0.0","8.0","1.0","0.0","6.0","1.0"
"すさみ町","149.0","93.0","56.0","27.0","17.0","10.0","24.0","15.0","9.0","26.0","14.0","12.0","19.0","12.0","7.0","25.0","16.0","9.0","28.0","19.0","9.0","149.0","93.0","56.0","27.0","24.0","26.0","19.0","25.0","28.0","149.0","117.0","21.0","22.0","18.0","18.0","15.0","23.0","28.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"那智勝浦町","679.0","331.0","348.0","114.0","51.0","63.0","106.0","54.0","52.0","103.0","50.0","53.0","117.0","58.0","59.0","112.0","55.0","57.0","127.0","63.0","64.0","679.0","331.0","348.0","114.0","106.0","103.0","117.0","112.0","127.0","679.0","597.0","104.0","96.0","91.0","94.0","94.0","118.0","54.0","28.0","5.0","0.0","0.0","1.0","0.0","0.0","22.0","0.0","0.0","0.0","8.0","0.0","0.0","7.0","1.0"
"太地町","106.0","56.0","50.0","8.0","8.0","0.0","18.0","10.0","8.0","12.0","8.0","4.0","20.0","9.0","11.0","21.0","8.0","13.0","27.0","13.0","14.0","106.0","56.0","50.0","8.0","18.0","12.0","20.0","21.0","27.0","106.0","104.0","8.0","18.0","12.0","20.0","21.0","25.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"古座川町","97.0","54.0","43.0","18.0","8.0","10.0","15.0","11.0","4.0","19.0","8.0","11.0","14.0","11.0","3.0","16.0","6.0","10.0","15.0","10.0","5.0","97.0","54.0","43.0","18.0","15.0","19.0","14.0","16.0","15.0","97.0","51.0","15.0","12.0","15.0","0.0","0.0","9.0","44.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"北山村","14.0","9.0","5.0","2.0","0.0","2.0","2.0","0.0","2.0","0.0","0.0","0.0","4.0","4.0","0.0","1.0","1.0","0.0","5.0","4.0","1.0","14.0","9.0","5.0","2.0","2.0","0.0","4.0","1.0","5.0","14.0","3.0","0.0","0.0","0.0","3.0","0.0","0.0","10.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0"
"串本町","615.0","327.0","288.0","103.0","58.0","45.0","123.0","69.0","54.0","85.0","44.0","41.0","99.0","49.0","50.0","85.0","46.0","39.0","120.0","61.0","59.0","615.0","327.0","288.0","103.0","123.0","85.0","99.0","85.0","120.0","615.0","498.0","98.0","99.0","65.0","67.0","63.0","106.0","107.0","10.0","4.0","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","9.0","1.0","0.0","7.0","1.0"
